#Daten
#LotArea	SalePrice
7060	206300
7064	135000
7082	160000
7094	125000
7100	129900
7128	164000
7134	130000
7136	145000
7150	100000
7153	175900
7153	179200
7162	109900
7175	125000
7180	127000
7200	134800
7200	124900
7200	101000
7200	109900
7200	133900
7200	109500
7200	185000
7200	187750
7200	125000
7200	123000
7200	155000
7200	107500
7200	98300
7200	149000
7200	175000
7200	129000
7200	133900
7200	85000
7200	140000
7200	119000
7200	125500
7200	157000
7200	138000
7200	90000
7200	119000
7207	116500
7226	183000
7227	105500
7244	129500
7252	134900
7259	259500
7264	205000
7301	198500
7313	277500
7314	194500
7332	120000
7340	110000
7350	139000
7388	150750
7390	135000
7399	239000
7406	194000
7407	149700
7415	193000
7420	118000
7420	132000
7438	127000
7446	100000
7449	139400
7472	184000
7500	141000
7500	176000
7500	133000
7500	189000
7500	68400
7500	154000
7500	177500
7500	216000
7500	185000
7535	120000
7540	156000
7558	177000
7560	139000
7560	133700
7577	194700
7585	91500
7588	200100
7590	155000
7590	169500
7596	124500
7599	129500
7630	140000
7642	189950
7658	319900
7677	110000
7681	154900
7685	165600
7700	155000
7700	112500
7711	150000
7728	132500
7740	125500
7742	127000
7750	180000
7750	162000
7750	184100
7758	169500
7758	132500
7763	140000
7795	188500
7800	119900
7800	132000
7800	130000
7800	225000
7800	119900
7800	115000
7804	135000
7819	107000
7820	318061
7837	178000
7838	123000
7844	149500
7851	216500
7861	183200
7862	208300
7875	176000
7875	139950
7875	180000
7879	34900
7892	153900
7892	99500
7910	127000
7917	148000
7917	175000
7920	89500
7922	109000
7930	156000
7931	155000
7931	132500
7937	142500
7943	118500
7945	141000
7950	159500
7990	110000
8000	132000
8000	141000
8000	188000
8004	263435
8012	179200
8012	143000
8012	193000
8029	176000
8049	180000
8063	181000
8064	122900
8068	200000
8070	123600
8072	138000
8089	392000
8100	106000
8100	153500
8120	124500
8121	172400
8123	179000
8125	88000
8125	241000
8125	205950
8125	193500
8125	174000
8125	197000
8125	230000
8125	186500
8158	224900
8160	126000
8163	143000
8172	135000
8172	115000
8176	139000
8190	119000
8197	143500
8198	207000
8199	189000
8200	219500
8212	58500
8235	125000
8244	183500
8246	154000
8248	67000
8248	116000
8250	145000
8250	134000
8263	118400
8280	124000
8281	62383
8294	123000
8314	124500
8320	185900
8335	93000
8339	106500
8366	173000
8385	149900
8393	145000
8400	145000
8400	179500
8400	82000
8400	140000
8400	213000
8400	144000
8400	171000
8400	227000
8400	136500
8400	60000
8400	138500
8400	156500
8400	174000
8400	129000
8402	147000
8405	119000
8405	98000
8410	81000
8414	154500
8430	124000
8445	133000
8450	208500
8450	210000
8450	142000
8450	138500
8450	179000
8450	185000
8461	163990
8462	201000
8470	85000
8471	151000
8472	110000
8475	135750
8480	132500
8480	118500
8487	190000
8499	156932
8500	40000
8500	98600
8500	115000
8500	179600
8520	166000
8520	100000
8520	105900
8520	136000
8521	125000
8525	130000
8529	189000
8530	168500
8532	153000
8536	155000
8544	149350
8544	87500
8544	93500
8544	92900
8546	140000
8556	194000
8562	144500
8593	109008
8600	119500
8633	173500
8635	127000
8640	252678
8640	215200
8640	250580
8640	229456
8658	160000
8688	232000
8700	155000
8712	102776
8712	55993
8712	153000
8724	129000
8730	153575
8731	144000
8737	210000
8738	230000
8740	137000
8741	113000
8749	192000
8750	210000
8750	191000
8750	148500
8750	200500
8755	214000
8760	148000
8760	239799
8765	106500
8767	164990
8769	367294
8773	185500
8773	169000
8775	126000
8777	108000
8777	85000
8777	145900
8780	112000
8791	207500
8795	236000
8800	137500
8800	96500
8800	160000
8800	150500
8814	220000
8814	203000
8816	155000
8816	139000
8820	124900
8834	350000
8846	148000
8846	173900
8849	266000
8850	144000
8854	121000
8872	147000
8877	102000
8877	100000
8880	205000
8885	131000
8892	126500
8892	116000
8899	181134
8900	107000
8910	159500
8923	134500
8924	188000
8925	201000
8926	112000
8930	112000
8935	195000
8944	124000
8960	115000
8963	299800
8967	67000
8973	150000
8978	108000
8990	204900
8993	176485
9000	262500
9000	270000
9000	76000
9000	139000
9000	210000
9000	141000
9000	124000
9000	118000
9000	303477
9000	35311
9000	80000
9000	143000
9000	120500
9000	136000
9017	192000
9018	179540
9020	168500
9020	174900
9022	109500
9037	265900
9042	192000
9042	266500
9056	178000
9060	120000
9060	105000
9066	230000
9069	147000
9084	95000
9084	108000
9084	176500
9098	86000
9100	125000
9100	129900
9100	79500
9100	127500
9100	216837
9100	117500
9100	178000
9100	235000
9101	165500
9120	184000
9120	185000
9120	163000
9125	163900
9130	173000
9135	214000
9135	200000
9142	137000
9144	145000
9150	165000
9156	185750
9158	225000
9170	140000
9179	193000
9180	144000
9187	134000
9187	370878
9196	201000
9200	130250
9200	315000
9200	140000
9204	124000
9206	178000
9230	146000
9236	217000
9240	287000
9245	213500
9245	145000
9246	135000
9247	171000
9248	173000
9250	139400
9262	287090
9286	143500
9291	187000
9297	188000
9300	167500
9303	204000
9313	190000
9317	213000
9317	176432
9320	128950
9337	204750
9340	113000
9350	158000
9350	179900
9353	116050
9360	197500
9364	158000
9375	219500
9375	250000
9375	263000
9375	228500
9382	191000
9400	127500
9400	139000
9405	118000
9416	311872
9430	337000
9439	87000
9450	110000
9452	348000
9453	194500
9464	136000
9473	237000
9477	110000
9480	146500
9490	133000
9492	105000
9500	159000
9500	165000
9503	144000
9505	222500
9520	293077
9525	136900
9525	144000
9531	211000
9541	233170
9548	237000
9549	270000
9550	140000
9554	215000
9560	128500
9571	129000
9571	60000
9572	302000
9587	190000
9588	276000
9590	187500
9591	317000
9591	274900
9600	181500
9600	79000
9600	139000
9600	167000
9600	178000
9600	175500
9600	147000
9600	161000
9600	124500
9600	153000
9600	87000
9600	140000
9600	132000
9600	128000
9600	187000
9600	160000
9600	278000
9600	135000
9600	119000
9600	125000
9600	129500
9600	128900
9600	165500
9600	140000
9612	244600
9636	178000
9638	169000
9650	167900
9672	152000
9675	253000
9717	142125
9735	167500
9738	104900
9742	230000
9750	135500
9750	157900
9750	213000
9750	151000
9750	274300
9758	119500
9760	187000
9760	167900
9764	130000
9765	185000
9786	159000
9786	91000
9790	161500
9790	143000
9800	149900
9803	226700
9808	227000
9819	122000
9819	196000
9825	100000
9828	239500
9830	162000
9842	101800
9842	189000
9849	248328
9855	127500
9858	130000
9873	129000
9880	171000
9900	260000
9900	139500
9900	176000
9900	117500
9906	107000
9920	128500
9920	269790
9920	128000
9937	167000
9937	147500
9938	236000
9945	128500
9947	173000
9950	290000
9965	383970
9965	424870
9967	170000
9986	147000
9991	150000
10000	160000
10000	157000
10000	131400
10000	227000
10000	240000
10004	167000
10005	192000
10007	145500
10010	170000
10011	134450
10012	137500
10020	61000
10029	211000
10041	220000
10083	184900
10084	307000
10084	212900
10106	127500
10120	122000
10120	290000
10125	171500
10125	126000
10134	109000
10140	213250
10140	165000
10140	181000
10140	153500
10140	162900
10141	185000
10142	233000
10150	114500
10152	135000
10159	395192
10171	214000
10175	180500
10182	290000
10186	190000
10192	170000
10197	163000
10200	144900
10200	108000
10200	175000
10205	134500
10206	245000
10206	82000
10207	227875
10208	265000
10215	111000
10226	295493
10237	169990
10237	178900
10240	275500
10240	207500
10246	145000
10261	186500
10264	214000
10267	130000
10289	156000
10300	140000
10304	197500
10316	235000
10320	135000
10335	180000
10335	204000
10355	143000
10356	122000
10357	179900
10364	168000
10380	301000
10382	200000
10382	140000
10386	305900
10395	148000
10400	174000
10400	241500
10400	165150
10400	152000
10400	197900
10402	198900
10410	135000
10410	105000
10420	186000
10421	196500
10434	115000
10437	350000
10440	110000
10440	157500
10440	256000
10448	158000
10452	155000
10463	239900
10475	245350
10480	115000
10480	205000
10482	145000
10496	143000
10500	115000
10500	97000
10500	139000
10530	143250
10530	135000
10542	341000
10552	165500
10562	325624
10570	315000
10574	252000
10592	165000
10593	260400
10594	96500
10603	205000
10615	95000
10624	119000
10625	83000
10625	284000
10625	170000
10625	250000
10628	167000
10634	123000
10635	232000
10637	297000
10650	128200
10652	279500
10655	284000
10656	248900
10659	136500
10665	226000
10667	212000
10678	285000
10680	137900
10690	147000
10708	190000
10712	93500
10721	142000
10728	266000
10762	120000
10762	225000
10768	218000
10769	212000
10778	136500
10780	132500
10784	160000
10791	90000
10793	152000
10800	100000
10800	339750
10800	160000
10800	106250
10800	240000
10800	159500
10800	163000
10800	179000
10800	139000
10800	135000
10800	170000
10800	120000
10800	163000
10800	64500
10832	194500
10839	181000
10846	324000
10852	173000
10859	145000
10880	125000
10896	200000
10900	161750
10918	234000
10920	157000
10921	94750
10927	275000
10930	140000
10944	271000
10970	147000
10991	239000
10994	257000
10998	117000
11000	248000
11000	154000
11003	310000
11029	250000
11029	176500
11040	108000
11040	145000
11049	179900
11050	313000
11065	281000
11070	171000
11075	172000
11075	206900
11096	249700
11100	84900
11103	155835
11120	162500
11143	340000
11146	255500
11160	244000
11170	250000
11175	200141
11184	172500
11194	230500
11198	325000
11200	129500
11200	180000
11207	185000
11210	221500
11214	199900
11216	232600
11218	189000
11228	228000
11235	148000
11241	149000
11248	285000
11249	177500
11250	223500
11250	165000
11250	255900
11250	161500
11275	242000
11275	220000
11287	228500
11302	319000
11308	335000
11310	140000
11316	214900
11317	180000
11333	146800
11340	125000
11340	122500
11341	121500
11344	144000
11345	137000
11361	180000
11362	280000
11367	255000
11394	394432
11400	466500
11404	222500
11409	131000
11414	167500
11423	272000
11425	137000
11426	200000
11428	250000
11435	230000
11443	369900
11457	175000
11475	179900
11475	110000
11478	306000
11500	250000
11500	136905
11500	84000
11512	177000
11526	191000
11553	158000
11584	197000
11600	145250
11600	137500
11600	154300
11606	135000
11616	139000
11616	158900
11625	131500
11639	182000
11643	200000
11645	196500
11645	260000
11664	119200
11670	320000
11694	314813
11700	175000
11700	265979
11700	154000
11700	179900
11717	185000
11751	190000
11764	290000
11767	130500
11767	112000
11777	164500
11782	148000
11787	315750
11796	215000
11838	236500
11839	262280
11841	118500
11844	372500
11846	374000
11851	180500
11880	157000
11883	203000
11885	261500
11888	214500
11900	82500
11900	166000
11911	174000
11923	239000
11924	345000
11932	235128
11952	190000
11957	232000
11988	188700
11988	150000
11999	285000
12000	174500
12000	147000
12003	269500
12011	280000
12030	318000
12046	195000
12085	318000
12090	175500
12090	258000
12090	178000
12095	158000
12099	354000
12108	118000
12118	240000
12122	178400
12134	164000
12137	224900
12144	133000
12150	131500
12155	140000
12155	163500
12160	149500
12160	142000
12168	359100
12180	80000
12182	220000
12203	336000
12205	187500
12209	215000
12220	402861
12224	244000
12227	272000
12243	175000
12244	305000
12256	325000
12257	290000
12274	227680
12327	316600
12328	169900
12342	82500
12342	139900
12354	110000
12358	128500
12376	320000
12378	360000
12384	197900
12393	195000
12394	225000
12400	155000
12416	184000
12420	230000
12435	231500
12438	361919
12444	394617
12456	337500
12461	262000
12464	152000
12474	426000
12493	141000
12508	160000
12513	104900
12537	149900
12546	182900
12552	254900
12589	174000
12615	243000
12640	150900
12665	153900
12665	281213
12677	274000
12692	430000
12702	97000
12704	253293
12735	111250
12772	151500
12798	200000
12800	275000
12803	221000
12822	239686
12886	175000
12898	315500
12900	108959
12919	611657
12925	237500
12936	162000
12968	144000
12984	217500
13000	193500
13005	260000
13006	222000
13031	187500
13053	207000
13072	158000
13072	142500
13101	142600
13125	208900
13125	238000
13125	155000
13125	219500
13132	138887
13159	224500
13173	325000
13175	210000
13214	378500
13265	271000
13284	165000
13286	320000
13300	132000
13346	268000
13350	142500
13360	163500
13400	159950
13418	309000
13450	200000
13472	386250
13474	225000
13478	451950
13500	235000
13500	325000
13501	255000
13515	180500
13517	130500
13518	485000
13526	137000
13560	110000
13568	156000
13600	205000
13600	90000
13650	172500
13651	244000
13673	143900
13680	139600
13682	438780
13688	412500
13693	380000
13695	159000
13695	155000
13700	201800
13704	205000
13710	152000
13728	235000
13758	187500
13811	176000
13825	140000
13837	229000
13860	345000
13869	177000
13891	372402
13891	582933
13891	465000
13907	108000
14000	158500
14000	328000
14006	192500
14054	219210
14100	381000
14112	180500
14115	143000
14115	187500
14115	230000
14145	202500
14154	280000
14157	377426
14175	168000
14191	202900
14200	226000
14215	325300
14226	395000
14230	256300
14260	250000
14303	301500
14331	312500
14364	277000
14375	137500
14442	257500
14450	415298
14536	270000
14541	310000
14559	164900
14572	259000
14585	181900
14587	264132
14598	214000
14601	315000
14684	271900
14720	410000
14762	169000
14774	333168
14778	224000
14781	275000
14803	190000
14803	385000
14850	141000
14859	240000
14892	377500
14948	446261
14963	245500
14977	440000
15138	403000
15256	282922
15306	283463
15384	184000
15426	231500
15431	555000
15498	287000
15523	133500
15576	177000
15578	172785
15593	225000
15602	289000
15611	233230
15611	175000
15623	745000
15660	311500
15750	157000
15863	197000
15865	268000
15870	138800
16033	326000
16056	556581
16059	260000
16157	194000
16158	260000
16196	215000
16226	267000
16259	342643
16285	187100
16321	207500
16381	223000
16466	135500
16492	190000
16545	340000
16560	239000
16635	215000
16647	171000
16659	235000
16669	228000
16692	250000
16737	315000
16770	221000
16905	170000
17043	181000
17104	179665
17120	134432
17140	135000
17217	84500
17400	160000
17423	501837
17500	335000
17503	97500
17542	294000
17600	157500
17671	168000
17755	149900
17871	197900
17920	170000
18000	81000
18030	200500
18386	295000
18450	129000
18800	190000
18890	190000
19138	141000
19296	176000
19378	320000
19690	274970
19900	180000
20431	437154
20544	215000
20781	262500
20896	423000
21000	217000
21286	135000
21384	223500
21453	180000
21535	755000
21695	222000
21750	113000
21750	115000
21780	185000
21872	175000
21930	192140
22420	239000
22950	475000
23257	274725
23595	260000
24090	244400
24682	181000
25000	143000
25095	143000
25286	132250
25339	112000
25419	235000
26142	157900
26178	335000
27650	242000
28698	185000
29959	248000
31770	215000
32463	168000
32668	200624
34650	145000
35133	186700
35760	625000
36500	190000
39104	241500
40094	184750
45600	240000
46589	402000
50271	385000
53107	240000
53227	256000
53504	538000
57200	160000
63887	160000
70761	280000
115149	302000
159000	277000
164660	228950
215245	375000
