#ID	LotArea	SalePrice
185	5790	107400
186	5814	187500
187	5820	126175
188	5825	79900
189	5868	129000
190	5890	120500
191	5900	85500
192	5925	89471
193	5925	37900
194	6000	115000
195	6000	119000
196	6000	120000
197	6000	112500
198	6000	93000
199	6000	89000
200	6000	107900
201	6000	93000
202	6000	102000
203	6000	110500
204	6000	128000
205	6000	117000
206	6000	132500
207	6000	108500
208	6000	134900
209	6000	131000
210	6000	120000
211	6040	82000
212	6060	100000
213	6120	129900
214	6120	132000
215	6120	105000
216	6120	133000
217	6120	60000
218	6120	141500
219	6120	88000
220	6120	137500
221	6130	109500
222	6155	128000
223	6171	137450
224	6173	125500
225	6180	102000
226	6204	118500
227	6240	114500
228	6240	115000
229	6240	162900
230	6240	254000
231	6240	103000
232	6240	149000
233	6240	80500
234	6240	127500
235	6270	145000
236	6292	145000
237	6292	91000
238	6300	128000
239	6305	119750
240	6324	68500
241	6342	94000
242	6371	224000
243	6380	113000
244	6402	78000
245	6420	123500
246	6435	140200
247	6442	202500
248	6563	275000
249	6600	138000
250	6600	109500
251	6600	107500
252	6600	130500
253	6627	72500
254	6629	103600
255	6762	195400
256	6762	206000
257	6762	193879
258	6768	142000
259	6780	84500
260	6792	202665
261	6820	212000
262	6853	220000
263	6858	128000
264	6882	127000
265	6897	127000
266	6900	120500
267	6911	100000
268	6930	130000
269	6931	165400
270	6951	119500
271	6955	202500
272	6960	120500
273	6970	129000
274	6979	144000
275	6993	135000
276	7000	112000
277	7000	107500
278	7000	136500
279	7000	135000
280	7015	110000
281	7018	118964
282	7018	153337
283	7018	118858
284	7018	142953
285	7024	157000
286	7024	176000
287	7032	135960
288	7050	226000
289	7052	185850
290	7056	140000
291	7060	206300
292	7064	135000
293	7082	160000
294	7094	125000
295	7100	129900
296	7128	164000
297	7134	130000
298	7136	145000
299	7150	100000
300	7153	175900
301	7153	179200
302	7162	109900
303	7175	125000
304	7180	127000
305	7200	134800
306	7200	124900
307	7200	101000
308	7200	109900
309	7200	133900
310	7200	109500
311	7200	185000
312	7200	187750
313	7200	125000
314	7200	123000
315	7200	155000
316	7200	107500
317	7200	98300
318	7200	149000
319	7200	175000
320	7200	129000
321	7200	133900
322	7200	85000
323	7200	140000
324	7200	119000
325	7200	125500
326	7200	157000
327	7200	138000
328	7200	90000
329	7200	119000
330	7207	116500
331	7226	183000
332	7227	105500
333	7244	129500
334	7252	134900
335	7259	259500
336	7264	205000
337	7301	198500
338	7313	277500
339	7314	194500
340	7332	120000
341	7340	110000
342	7350	139000
343	7388	150750
344	7390	135000
345	7399	239000
346	7406	194000
347	7407	149700
348	7415	193000
349	7420	118000
350	7420	132000
351	7438	127000
352	7446	100000
353	7449	139400
354	7472	184000
355	7500	141000
356	7500	176000
357	7500	133000
358	7500	189000
359	7500	68400
360	7500	154000
361	7500	177500
362	7500	216000
363	7500	185000
364	7535	120000
365	7540	156000
366	7558	177000
367	7560	139000
368	7560	133700
369	7577	194700
370	7585	91500
371	7588	200100
372	7590	155000
373	7590	169500
374	7596	124500
375	7599	129500
376	7630	140000
377	7642	189950
378	7658	319900
379	7677	110000
380	7681	154900
381	7685	165600
382	7700	155000
383	7700	112500
384	7711	150000
385	7728	132500
386	7740	125500
387	7742	127000
388	7750	180000
389	7750	162000
390	7750	184100
391	7758	169500
392	7758	132500
393	7763	140000
394	7795	188500
395	7800	119900
396	7800	132000
397	7800	130000
398	7800	225000
399	7800	119900
400	7800	115000
401	7804	135000
402	7819	107000
403	7820	318061
404	7837	178000
405	7838	123000
406	7844	149500
407	7851	216500
408	7861	183200
409	7862	208300
410	7875	176000
411	7875	139950
412	7875	180000
413	7879	34900
414	7892	153900
415	7892	99500
416	7910	127000
417	7917	148000
418	7917	175000
419	7920	89500
420	7922	109000
421	7930	156000
422	7931	155000
423	7931	132500
424	7937	142500
425	7943	118500
426	7945	141000
427	7950	159500
428	7990	110000
429	8000	132000
430	8000	141000
431	8000	188000
432	8004	263435
433	8012	179200
434	8012	143000
435	8012	193000
436	8029	176000
437	8049	180000
438	8063	181000
439	8064	122900
440	8068	200000
441	8070	123600
442	8072	138000
443	8089	392000
444	8100	106000
445	8100	153500
446	8120	124500
447	8121	172400
448	8123	179000
449	8125	88000
450	8125	241000
451	8125	205950
452	8125	193500
453	8125	174000
454	8125	197000
455	8125	230000
456	8125	186500
457	8158	224900
458	8160	126000
459	8163	143000
460	8172	135000
461	8172	115000
462	8176	139000
463	8190	119000
464	8197	143500
465	8198	207000
466	8199	189000
467	8200	219500
468	8212	58500
469	8235	125000
470	8244	183500
471	8246	154000
472	8248	67000
473	8248	116000
474	8250	145000
475	8250	134000
476	8263	118400
477	8280	124000
478	8281	62383
479	8294	123000
480	8314	124500
481	8320	185900
482	8335	93000
483	8339	106500
484	8366	173000
485	8385	149900
486	8393	145000
487	8400	145000
488	8400	179500
489	8400	82000
490	8400	140000
491	8400	213000
492	8400	144000
493	8400	171000
494	8400	227000
495	8400	136500
496	8400	60000
497	8400	138500
498	8400	156500
499	8400	174000
500	8400	129000
501	8402	147000
502	8405	119000
503	8405	98000
504	8410	81000
505	8414	154500
506	8430	124000
507	8445	133000
508	8450	208500
509	8450	210000
510	8450	142000
511	8450	138500
512	8450	179000
513	8450	185000
514	8461	163990
515	8462	201000
516	8470	85000
517	8471	151000
518	8472	110000
519	8475	135750
520	8480	132500
521	8480	118500
522	8487	190000
523	8499	156932
524	8500	40000
525	8500	98600
526	8500	115000
527	8500	179600
528	8520	166000
529	8520	100000
530	8520	105900
531	8520	136000
532	8521	125000
533	8525	130000
534	8529	189000
535	8530	168500
536	8532	153000
537	8536	155000
538	8544	149350
539	8544	87500
540	8544	93500
541	8544	92900
542	8546	140000
543	8556	194000
544	8562	144500
545	8593	109008
546	8600	119500
547	8633	173500
548	8635	127000
549	8640	252678
550	8640	215200
551	8640	250580
552	8640	229456
553	8658	160000
554	8688	232000
555	8700	155000
556	8712	102776
557	8712	55993
558	8712	153000
559	8724	129000
560	8730	153575
561	8731	144000
562	8737	210000
563	8738	230000
564	8740	137000
565	8741	113000
566	8749	192000
567	8750	210000
568	8750	191000
569	8750	148500
570	8750	200500
571	8755	214000
572	8760	148000
573	8760	239799
574	8765	106500
575	8767	164990
576	8769	367294
577	8773	185500
578	8773	169000
579	8775	126000
580	8777	108000
581	8777	85000
582	8777	145900
583	8780	112000
584	8791	207500
585	8795	236000
586	8800	137500
587	8800	96500
588	8800	160000
589	8800	150500
590	8814	220000
591	8814	203000
592	8816	155000
593	8816	139000
594	8820	124900
595	8834	350000
596	8846	148000
597	8846	173900
598	8849	266000
599	8850	144000
600	8854	121000
601	8872	147000
602	8877	102000
603	8877	100000
604	8880	205000
605	8885	131000
606	8892	126500
607	8892	116000
608	8899	181134
609	8900	107000
610	8910	159500
611	8923	134500
612	8924	188000
613	8925	201000
614	8926	112000
615	8930	112000
616	8935	195000
617	8944	124000
618	8960	115000
619	8963	299800
620	8967	67000
621	8973	150000
622	8978	108000
623	8990	204900
624	8993	176485
625	9000	262500
626	9000	270000
627	9000	76000
628	9000	139000
629	9000	210000
630	9000	141000
631	9000	124000
632	9000	118000
633	9000	303477
634	9000	35311
635	9000	80000
636	9000	143000
637	9000	120500
638	9000	136000
639	9017	192000
640	9018	179540
641	9020	168500
642	9020	174900
643	9022	109500
644	9037	265900
645	9042	192000
646	9042	266500
647	9056	178000
648	9060	120000
649	9060	105000
650	9066	230000
651	9069	147000
652	9084	95000
653	9084	108000
654	9084	176500
655	9098	86000
656	9100	125000
657	9100	129900
658	9100	79500
659	9100	127500
660	9100	216837
661	9100	117500
662	9100	178000
663	9100	235000
664	9101	165500
665	9120	184000
666	9120	185000
667	9120	163000
668	9125	163900
669	9130	173000
670	9135	214000
671	9135	200000
672	9142	137000
673	9144	145000
674	9150	165000
675	9156	185750
676	9158	225000
677	9170	140000
678	9179	193000
679	9180	144000
680	9187	134000
681	9187	370878
682	9196	201000
683	9200	130250
684	9200	315000
685	9200	140000
686	9204	124000
687	9206	178000
688	9230	146000
689	9236	217000
690	9240	287000
691	9245	213500
692	9245	145000
693	9246	135000
694	9247	171000
695	9248	173000
696	9250	139400
697	9262	287090
698	9286	143500
699	9291	187000
700	9297	188000
701	9300	167500
702	9303	204000
703	9313	190000
704	9317	213000
705	9317	176432
706	9320	128950
707	9337	204750
708	9340	113000
709	9350	158000
710	9350	179900
711	9353	116050
712	9360	197500
713	9364	158000
714	9375	219500
715	9375	250000
716	9375	263000
717	9375	228500
718	9382	191000
719	9400	127500
720	9400	139000
721	9405	118000
722	9416	311872
723	9430	337000
724	9439	87000
725	9450	110000
726	9452	348000
727	9453	194500
728	9464	136000
729	9473	237000
730	9477	110000
731	9480	146500
732	9490	133000
733	9492	105000
734	9500	159000
735	9500	165000
736	9503	144000
737	9505	222500
738	9520	293077
739	9525	136900
740	9525	144000
741	9531	211000
742	9541	233170
743	9548	237000
744	9549	270000
745	9550	140000
746	9554	215000
747	9560	128500
748	9571	129000
749	9571	60000
750	9572	302000
751	9587	190000
752	9588	276000
753	9590	187500
754	9591	317000
755	9591	274900
756	9600	181500
757	9600	79000
758	9600	139000
759	9600	167000
760	9600	178000
761	9600	175500
762	9600	147000
763	9600	161000
764	9600	124500
765	9600	153000
766	9600	87000
767	9600	140000
768	9600	132000
769	9600	128000
770	9600	187000
771	9600	160000
772	9600	278000
773	9600	135000
774	9600	119000
775	9600	125000
776	9600	129500
777	9600	128900
778	9600	165500
779	9600	140000
780	9612	244600
781	9636	178000
782	9638	169000
783	9650	167900
784	9672	152000
785	9675	253000
786	9717	142125
787	9735	167500
788	9738	104900
789	9742	230000
790	9750	135500
791	9750	157900
792	9750	213000
793	9750	151000
794	9750	274300
795	9758	119500
796	9760	187000
797	9760	167900
798	9764	130000
799	9765	185000
800	9786	159000
801	9786	91000
802	9790	161500
803	9790	143000
804	9800	149900
805	9803	226700
806	9808	227000
807	9819	122000
808	9819	196000
809	9825	100000
810	9828	239500
811	9830	162000
812	9842	101800
813	9842	189000
814	9849	248328
815	9855	127500
816	9858	130000
817	9873	129000
818	9880	171000
819	9900	260000
820	9900	139500
821	9900	176000
822	9900	117500
823	9906	107000
824	9920	128500
825	9920	269790
826	9920	128000
827	9937	167000
828	9937	147500
829	9938	236000
830	9945	128500
831	9947	173000
832	9950	290000
833	9965	383970
834	9965	424870
835	9967	170000
836	9986	147000
837	9991	150000
838	10000	160000
839	10000	157000
840	10000	131400
841	10000	227000
842	10000	240000
843	10004	167000
844	10005	192000
845	10007	145500
846	10010	170000
847	10011	134450
848	10012	137500
849	10020	61000
850	10029	211000
851	10041	220000
852	10083	184900
853	10084	307000
854	10084	212900
855	10106	127500
856	10120	122000
857	10120	290000
858	10125	171500
859	10125	126000
860	10134	109000
861	10140	213250
862	10140	165000
863	10140	181000
864	10140	153500
865	10140	162900
866	10141	185000
867	10142	233000
868	10150	114500
869	10152	135000
870	10159	395192
871	10171	214000
872	10175	180500
873	10182	290000
874	10186	190000
875	10192	170000
876	10197	163000
877	10200	144900
878	10200	108000
879	10200	175000
880	10205	134500
881	10206	245000
882	10206	82000
883	10207	227875
884	10208	265000
885	10215	111000
886	10226	295493
887	10237	169990
888	10237	178900
889	10240	275500
890	10240	207500
891	10246	145000
892	10261	186500
893	10264	214000
894	10267	130000
895	10289	156000
896	10300	140000
897	10304	197500
898	10316	235000
899	10320	135000
900	10335	180000
901	10335	204000
902	10355	143000
903	10356	122000
904	10357	179900
905	10364	168000
906	10380	301000
907	10382	200000
908	10382	140000
909	10386	305900
910	10395	148000
911	10400	174000
912	10400	241500
913	10400	165150
914	10400	152000
915	10400	197900
916	10402	198900
917	10410	135000
918	10410	105000
919	10420	186000
920	10421	196500
921	10434	115000
922	10437	350000
923	10440	110000
924	10440	157500
925	10440	256000
926	10448	158000
927	10452	155000
928	10463	239900
929	10475	245350
930	10480	115000
931	10480	205000
932	10482	145000
933	10496	143000
934	10500	115000
935	10500	97000
936	10500	139000
937	10530	143250
938	10530	135000
939	10542	341000
940	10552	165500
941	10562	325624
942	10570	315000
943	10574	252000
944	10592	165000
945	10593	260400
946	10594	96500
947	10603	205000
948	10615	95000
949	10624	119000
950	10625	83000
951	10625	284000
952	10625	170000
953	10625	250000
954	10628	167000
955	10634	123000
956	10635	232000
957	10637	297000
958	10650	128200
959	10652	279500
960	10655	284000
961	10656	248900
962	10659	136500
963	10665	226000
964	10667	212000
965	10678	285000
966	10680	137900
967	10690	147000
968	10708	190000
969	10712	93500
970	10721	142000
971	10728	266000
972	10762	120000
973	10762	225000
974	10768	218000
975	10769	212000
976	10778	136500
977	10780	132500
978	10784	160000
979	10791	90000
980	10793	152000
981	10800	100000
982	10800	339750
983	10800	160000
984	10800	106250
985	10800	240000
986	10800	159500
987	10800	163000
988	10800	179000
989	10800	139000
990	10800	135000
991	10800	170000
992	10800	120000
993	10800	163000
994	10800	64500
995	10832	194500
996	10839	181000
997	10846	324000
998	10852	173000
999	10859	145000
1000	10880	125000
1001	10896	200000
1002	10900	161750
1003	10918	234000
1004	10920	157000
1005	10921	94750
1006	10927	275000
1007	10930	140000
1008	10944	271000
1009	10970	147000
1010	10991	239000
1011	10994	257000
1012	10998	117000
1013	11000	248000
1014	11000	154000
1015	11003	310000
1016	11029	250000
1017	11029	176500
1018	11040	108000
1019	11040	145000
1020	11049	179900
1021	11050	313000
1022	11065	281000
1023	11070	171000
1024	11075	172000
1025	11075	206900
1026	11096	249700
1027	11100	84900
1028	11103	155835
1029	11120	162500
1030	11143	340000
1031	11146	255500
1032	11160	244000
1033	11170	250000
1034	11175	200141
1035	11184	172500
1036	11194	230500
1037	11198	325000
1038	11200	129500
1039	11200	180000
1040	11207	185000
1041	11210	221500
1042	11214	199900
1043	11216	232600
1044	11218	189000
1045	11228	228000
1046	11235	148000
1047	11241	149000
1048	11248	285000
1049	11249	177500
1050	11250	223500
1051	11250	165000
1052	11250	255900
1053	11250	161500
1054	11275	242000
1055	11275	220000
1056	11287	228500
1057	11302	319000
1058	11308	335000
1059	11310	140000
1060	11316	214900
1061	11317	180000
1062	11333	146800
1063	11340	125000
1064	11340	122500
1065	11341	121500
1066	11344	144000
1067	11345	137000
1068	11361	180000
1069	11362	280000
1070	11367	255000
1071	11394	394432
1072	11400	466500
1073	11404	222500
1074	11409	131000
1075	11414	167500
1076	11423	272000
1077	11425	137000
1078	11426	200000
1079	11428	250000
1080	11435	230000
1081	11443	369900
1082	11457	175000
1083	11475	179900
1084	11475	110000
1085	11478	306000
1086	11500	250000
1087	11500	136905
1088	11500	84000
1089	11512	177000
1090	11526	191000
1091	11553	158000
1092	11584	197000
1093	11600	145250
1094	11600	137500
1095	11600	154300
1096	11606	135000
1097	11616	139000
1098	11616	158900
1099	11625	131500
1100	11639	182000
1101	11643	200000
1102	11645	196500
1103	11645	260000
1104	11664	119200
1105	11670	320000
1106	11694	314813
1107	11700	175000
1108	11700	265979
1109	11700	154000
1110	11700	179900
1111	11717	185000
1112	11751	190000
1113	11764	290000
1114	11767	130500
1115	11767	112000
1116	11777	164500
1117	11782	148000
1118	11787	315750
1119	11796	215000
1120	11838	236500
1121	11839	262280
1122	11841	118500
1123	11844	372500
1124	11846	374000
1125	11851	180500
1126	11880	157000
1127	11883	203000
1128	11885	261500
1129	11888	214500
1130	11900	82500
1131	11900	166000
1132	11911	174000
1133	11923	239000
1134	11924	345000
1135	11932	235128
1136	11952	190000
1137	11957	232000
1138	11988	188700
1139	11988	150000
1140	11999	285000
1141	12000	174500
1142	12000	147000
1143	12003	269500
1144	12011	280000
1145	12030	318000
1146	12046	195000
1147	12085	318000
1148	12090	175500
1149	12090	258000
1150	12090	178000
1151	12095	158000
1152	12099	354000
1153	12108	118000
1154	12118	240000
1155	12122	178400
1156	12134	164000
1157	12137	224900
1158	12144	133000
1159	12150	131500
1160	12155	140000
1161	12155	163500
1162	12160	149500
1163	12160	142000
1164	12168	359100
1165	12180	80000
1166	12182	220000
1167	12203	336000
1168	12205	187500
1169	12209	215000
1170	12220	402861
1171	12224	244000
1172	12227	272000
1173	12243	175000
1174	12244	305000
1175	12256	325000
1176	12257	290000
1177	12274	227680
1178	12327	316600
1179	12328	169900
1180	12342	82500
1181	12342	139900
1182	12354	110000
1183	12358	128500
1184	12376	320000
1185	12378	360000
1186	12384	197900
1187	12393	195000
1188	12394	225000
1189	12400	155000
1190	12416	184000
1191	12420	230000
1192	12435	231500
1193	12438	361919
1194	12444	394617
1195	12456	337500
1196	12461	262000
1197	12464	152000
1198	12474	426000
1199	12493	141000
1200	12508	160000
1201	12513	104900
1202	12537	149900
1203	12546	182900
1204	12552	254900
1205	12589	174000
1206	12615	243000
1207	12640	150900
1208	12665	153900
1209	12665	281213
1210	12677	274000
1211	12692	430000
1212	12702	97000
1213	12704	253293
1214	12735	111250
1215	12772	151500
1216	12798	200000
1217	12800	275000
1218	12803	221000
1219	12822	239686
1220	12886	175000
1221	12898	315500
1222	12900	108959
1223	12919	611657
1224	12925	237500
1225	12936	162000
1226	12968	144000
1227	12984	217500
1228	13000	193500
1229	13005	260000
1230	13006	222000
1231	13031	187500
1232	13053	207000
1233	13072	158000
1234	13072	142500
1235	13101	142600
1236	13125	208900
1237	13125	238000
1238	13125	155000
1239	13125	219500
1240	13132	138887
1241	13159	224500
1242	13173	325000
1243	13175	210000
1244	13214	378500
1245	13265	271000
1246	13284	165000
1247	13286	320000
1248	13300	132000
1249	13346	268000
1250	13350	142500
1251	13360	163500
1252	13400	159950
1253	13418	309000
1254	13450	200000
1255	13472	386250
1256	13474	225000
1257	13478	451950
1258	13500	235000
1259	13500	325000
1260	13501	255000
1261	13515	180500
1262	13517	130500
1263	13518	485000
1264	13526	137000
1265	13560	110000
1266	13568	156000
1267	13600	205000
1268	13600	90000
1269	13650	172500
1270	13651	244000
1271	13673	143900
1272	13680	139600
1273	13682	438780
1274	13688	412500
1275	13693	380000
1276	13695	159000
1277	13695	155000
1278	13700	201800
1279	13704	205000
1280	13710	152000
1281	13728	235000
1282	13758	187500
1283	13811	176000
1284	13825	140000
1285	13837	229000
1286	13860	345000
1287	13869	177000
1288	13891	372402
1289	13891	582933
1290	13891	465000
1291	13907	108000
1292	14000	158500
1293	14000	328000
1294	14006	192500
1295	14054	219210
1296	14100	381000
1297	14112	180500
1298	14115	143000
1299	14115	187500
1300	14115	230000
1301	14145	202500
1302	14154	280000
1303	14157	377426
1304	14175	168000
1305	14191	202900
1306	14200	226000
1307	14215	325300
1308	14226	395000
1309	14230	256300
1310	14260	250000
1311	14303	301500
1312	14331	312500
1313	14364	277000
1314	14375	137500
1315	14442	257500
1316	14450	415298
1317	14536	270000
1318	14541	310000
1319	14559	164900
1320	14572	259000
1321	14585	181900
1322	14587	264132
1323	14598	214000
1324	14601	315000
1325	14684	271900
1326	14720	410000
1327	14762	169000
1328	14774	333168
1329	14778	224000
1330	14781	275000
1331	14803	190000
1332	14803	385000
1333	14850	141000
1334	14859	240000
1335	14892	377500
1336	14948	446261
1337	14963	245500
1338	14977	440000
1339	15138	403000
1340	15256	282922
1341	15306	283463
1342	15384	184000
1343	15426	231500
1344	15431	555000
1345	15498	287000
1346	15523	133500
1347	15576	177000
1348	15578	172785
1349	15593	225000
1350	15602	289000
1351	15611	233230
1352	15611	175000
1353	15623	745000
1354	15660	311500
1355	15750	157000
1356	15863	197000
1357	15865	268000
1358	15870	138800
1359	16033	326000
1360	16056	556581
1361	16059	260000
1362	16157	194000
1363	16158	260000
1364	16196	215000
1365	16226	267000
1366	16259	342643
1367	16285	187100
1368	16321	207500
1369	16381	223000
1370	16466	135500
1371	16492	190000
1372	16545	340000
1373	16560	239000
1374	16635	215000
1375	16647	171000
1376	16659	235000
1377	16669	228000
1378	16692	250000
1379	16737	315000
1380	16770	221000
1381	16905	170000
1382	17043	181000
1383	17104	179665
1384	17120	134432
1385	17140	135000
1386	17217	84500
1387	17400	160000
1388	17423	501837
1389	17500	335000
1390	17503	97500
1391	17542	294000
1392	17600	157500
1393	17671	168000
1394	17755	149900
1395	17871	197900
1396	17920	170000
1397	18000	81000
1398	18030	200500
1399	18386	295000
1400	18450	129000
1401	18800	190000
1402	18890	190000
1403	19138	141000
1404	19296	176000
1405	19378	320000
1406	19690	274970
1407	19900	180000
1408	20431	437154
1409	20544	215000
1410	20781	262500
1411	20896	423000
1412	21000	217000
1413	21286	135000
1414	21384	223500
1415	21453	180000
1416	21535	755000
1417	21695	222000
1418	21750	113000
1419	21750	115000
1420	21780	185000
1421	21872	175000
1422	21930	192140
1423	22420	239000
1424	22950	475000
1425	23257	274725
1426	23595	260000
1427	24090	244400
1428	24682	181000
1429	25000	143000
1430	25095	143000
1431	25286	132250
1432	25339	112000
1433	25419	235000
1434	26142	157900
1435	26178	335000
1436	27650	242000
1437	28698	185000
1438	29959	248000
1439	31770	215000
1440	32463	168000
1441	32668	200624
1442	34650	145000
1443	35133	186700
1444	35760	625000
1445	36500	190000
1446	39104	241500
1447	40094	184750
1448	45600	240000
1449	46589	402000
1450	50271	385000
1451	53107	240000
1452	53227	256000
1453	53504	538000
1454	57200	160000
1455	63887	160000
1456	70761	280000
1457	115149	302000
1458	159000	277000
1459	164660	228950
1460	215245	375000
